"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1950-12-31","USW00023160",32.1314,-110.9553,1950,0,0,0,69.48,84.42,54.55,9.29,108,47,82,17,5.21,10.14,6.3,3.84,1.22,1.76,7.87
"1951-12-31","USW00023160",32.1314,-110.9553,1951,0,0,0,68.37,82.24,54.5,11.7,108,43,83,26,12.05,14.79,12.88,7.4,1.47,1.86,8.97
"1952-12-31","USW00023160",32.1314,-110.9553,1952,0,0,0,68.24,82.3,54.18,12.65,107,48,81,25,10.68,15.34,18.63,11.51,1.19,1.41,10.57
"1953-12-31","USW00023160",32.1314,-110.9553,1953,0,0,0,68.55,83.25,53.85,5.34,110,48,85,23,10.68,18.08,10.68,11.23,0.85,1.58,3.86
"1954-12-31","USW00023160",32.1314,-110.9553,1954,0,0,0,70.58,84.94,56.22,11.63,108,47,82,18,7.4,16.16,5.75,4.66,1.28,1.75,9.96
"1955-12-31","USW00023160",32.1314,-110.9553,1955,0,0,0,67.55,82.32,52.78,15.9,110,44,79,20,7.4,10.68,11.23,12.05,2.28,4.2,13.79
"1956-12-31","USW00023160",32.1314,-110.9553,1956,0,0,0,68.81,83.78,53.84,7.04,109,43,82,25,10.68,14.25,10.68,9.32,1.09,1.49,5.39
"1957-12-31","USW00023160",32.1314,-110.9553,1957,0,0,0,68.99,82.19,55.79,13.56,111,48,85,27,8.49,16.44,9.32,2.47,1.66,1.75,10.42
"1958-12-31","USW00023160",32.1314,-110.9553,1958,0,0,0,68.97,82.36,55.57,12.6,111,43,84,24,8.22,19.18,10.96,6.3,3.93,4.1,10.16
"1959-12-31","USW00023160",32.1314,-110.9553,1959,0,0,0,68.29,82.2,54.38,9.99,107,45,82,26,6.03,18.08,11.23,9.04,1.4,1.59,8.08
"1960-12-31","USW00023160",32.1314,-110.9553,1960,0,0,0,67,81.38,52.62,8.74,108,42,81,20,7.12,12.6,14.79,15.62,1.08,1.56,6.9
"1961-12-31","USW00023160",32.1314,-110.9553,1961,0,0,0,67.21,80.59,53.83,10.89,106,47,83,32,6.58,12.6,15.62,6.03,2.48,2.82,8.34
"1962-12-31","USW00023160",32.1314,-110.9553,1962,0,0,0,68.22,81.67,54.77,8.58,107,44,80,21,6.85,15.89,15.34,6.03,2.4,2.61,5.79
"1963-12-31","USW00023160",32.1314,-110.9553,1963,0,0,0,68.6,82.27,54.92,9.97,107,40,82,21,5.48,15.89,12.33,6.03,0.77,1.29,8.47
"1964-12-31","USW00023160",32.1314,-110.9553,1964,0,0,0,66.07,79.52,52.62,17.99,106,46,82,18,4.66,13.7,18.36,13.97,2.85,3.8,15.48
"1965-12-31","USW00023160",32.1314,-110.9553,1965,0,0,0,67.11,80.85,53.37,11.53,107,45,81,20,3.01,9.86,13.97,7.4,0.96,2.01,8.74
"1966-12-31","USW00023160",32.1314,-110.9553,1966,0,0,0,67.53,81.12,53.94,14.41,105,42,80,23,4.38,12.05,15.34,10.96,1.48,3.3,12.17
"1967-12-31","USW00023160",32.1314,-110.9553,1967,0,0,0,68.16,82.05,54.28,12.93,107,44,80,20,2.47,14.79,8.77,7.95,1.22,2.73,10.73
"1968-12-31","USW00023160",32.1314,-110.9553,1968,0,0,0,68.14,81.76,54.51,8.94,110,41,79,19,5.21,12.33,12.6,6.58,1.57,1.86,6
"1969-12-31","USW00023160",32.1314,-110.9553,1969,0,0,0,68.1,81.61,54.58,9.94,108,47,79,24,6.85,17.81,12.88,6.03,0.81,1.12,7.23
"1970-12-31","USW00023160",32.1314,-110.9553,1970,0,0,0,67.37,81.09,53.65,11.98,111,48,82,23,7.4,16.99,10.96,6.3,1.9,2.52,10.81
"1971-12-31","USW00023160",32.1314,-110.9553,1971,0,0,0,66.05,79.92,52.18,12.17,108,38,80,17,4.93,14.79,18.08,12.05,1,1.8,9.61
"1972-12-31","USW00023160",32.1314,-110.9553,1972,0,0,0,67.31,81.28,53.33,14.86,107,44,81,23,5.75,11.23,12.05,8.22,1.75,2.84,13.03
"1973-12-31","USW00023160",32.1314,-110.9553,1973,0,0,0,66.44,80.12,52.75,7.22,107,47,81,26,5.21,10.41,20.27,8.77,0.98,1.34,4.56
"1974-12-31","USW00023160",32.1314,-110.9553,1974,0,0,0,67.33,80.61,54.04,11.92,109,44,82,16,6.03,13.7,15.89,10.14,1.47,1.97,9.93
"1975-12-31","USW00023160",32.1314,-110.9553,1975,0,0,0,66.39,80.28,52.5,6.64,106,47,80,25,4.11,12.88,16.71,7.95,1.17,1.69,4.15
